repo name,user name,stars count,repo url
devops-exercises,bregman-arie,60500,https://github.com/bregman-arie
generative-ai-for-beginners,microsoft,22600,https://github.com/microsoft
pulumi,pulumi,18700,https://github.com/pulumi
recommenders,recommenders-team,17400,https://github.com/recommenders-team
sops,getsops,14600,https://github.com/getsops
awesome-kubernetes,ramitsurana,14500,https://github.com/ramitsurana
azure-quickstart-templates,Azure,13500,https://github.com/Azure
caprover,caprover,11700,https://github.com/caprover
infracost,infracost,9900,https://github.com/infracost
go-cloud,google,9300,https://github.com/google
